2017-02-27 14:27:21 [ERROR] : [2017-02-27 02:27:21]msg:mysqli connect error;file:/project/sales/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-02-27 14:28:22 [ERROR] : [2017-02-27 02:28:22]msg:mysqli connect error;file:/project/sales/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-02-27 16:42:11 [ERROR] : [2017-02-27 04:42:11]msg:Table 'baihedai_sales.cp_xiaoshou_admin' doesn't exist;file:/project/sales/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-02-27 16:43:47 [ERROR] : [2017-02-27 04:43:47]msg:Table 'baihedai_sales.cp_xiaoshou_admin' doesn't exist;file:/project/sales/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-02-27 16:44:06 [ERROR] : [2017-02-27 04:44:06]msg:Table 'baihedai_sales.cp_xiaoshou_admin' doesn't exist;file:/project/sales/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-02-27 16:44:10 [ERROR] : [2017-02-27 04:44:10]msg:Table 'baihedai_sales.cp_xiaoshou_admin' doesn't exist;file:/project/sales/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-02-27 16:44:38 [ERROR] : [2017-02-27 04:44:38]msg:Table 'baihedai_sales.cp_zjingjiren_admin_group' doesn't exist;file:/project/sales/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-02-27 16:45:18 [ERROR] : [2017-02-27 04:45:18]msg:Table 'baihedai_sales.cp_xiaoshou_admin_group' doesn't exist;file:/project/sales/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-02-27 16:45:22 [ERROR] : [2017-02-27 04:45:22]msg:Table 'baihedai_sales.cp_xiaoshou_admin_group' doesn't exist;file:/project/sales/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-02-27 19:02:54 [ERROR] : [2017-02-27 07:02:54]msg:Can not find default method : add_save;file:/project/sales/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-02-27 19:05:07 [ERROR] : [2017-02-27 07:05:07]msg:Can not find default method : add_save;file:/project/sales/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-02-27 19:05:54 [ERROR] : [2017-02-27 07:05:54]msg:Can not find default method : add_save;file:/project/sales/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-02-27 19:39:02 [ERROR] : [2017-02-27 07:39:02]msg:You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'LIMIT 1' at line 1;file:/project/sales/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-02-27 19:39:06 [ERROR] : [2017-02-27 07:39:06]msg:You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'LIMIT 1' at line 1;file:/project/sales/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-02-27 19:40:04 [ERROR] : [2017-02-27 07:40:04]msg:You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'LIMIT 1' at line 1;file:/project/sales/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-02-27 19:40:07 [ERROR] : [2017-02-27 07:40:07]msg:You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'LIMIT 1' at line 1;file:/project/sales/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
