2017-03-12 02:29:28 [ERROR] : [2017-03-12 02:29:28]msg:mysqli connect error;file:/home/qixinliang/git/bhd-zhixiao/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-03-12 02:29:40 [ERROR] : [2017-03-12 02:29:40]msg:mysqli connect error;file:/home/qixinliang/git/bhd-zhixiao/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-03-12 02:29:46 [ERROR] : [2017-03-12 02:29:46]msg:mysqli connect error;file:/home/qixinliang/git/bhd-zhixiao/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-03-12 02:29:55 [ERROR] : [2017-03-12 02:29:55]msg:mysqli connect error;file:/home/qixinliang/git/bhd-zhixiao/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-03-12 02:30:11 [ERROR] : [2017-03-12 02:30:11]msg:mysqli connect error;file:/home/qixinliang/git/bhd-zhixiao/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-03-12 02:30:54 [ERROR] : [2017-03-12 02:30:54]msg:mysqli connect error;file:/home/qixinliang/git/bhd-zhixiao/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-03-12 02:31:05 [ERROR] : [2017-03-12 02:31:05]msg:mysqli connect error;file:/home/qixinliang/git/bhd-zhixiao/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-03-12 02:31:06 [ERROR] : [2017-03-12 02:31:06]msg:mysqli connect error;file:/home/qixinliang/git/bhd-zhixiao/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-03-12 02:31:07 [ERROR] : [2017-03-12 02:31:07]msg:mysqli connect error;file:/home/qixinliang/git/bhd-zhixiao/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-03-12 02:31:07 [ERROR] : [2017-03-12 02:31:07]msg:mysqli connect error;file:/home/qixinliang/git/bhd-zhixiao/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-03-12 02:31:07 [ERROR] : [2017-03-12 02:31:07]msg:mysqli connect error;file:/home/qixinliang/git/bhd-zhixiao/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-03-12 02:31:07 [ERROR] : [2017-03-12 02:31:07]msg:mysqli connect error;file:/home/qixinliang/git/bhd-zhixiao/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-03-12 02:31:07 [ERROR] : [2017-03-12 02:31:07]msg:mysqli connect error;file:/home/qixinliang/git/bhd-zhixiao/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-03-12 02:31:16 [ERROR] : [2017-03-12 02:31:16]msg:mysqli connect error;file:/home/qixinliang/git/bhd-zhixiao/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-03-12 02:31:20 [ERROR] : [2017-03-12 02:31:20]msg:mysqli connect error;file:/home/qixinliang/git/bhd-zhixiao/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-03-12 02:31:43 [ERROR] : [2017-03-12 02:31:43]msg:mysqli connect error;file:/home/qixinliang/git/bhd-zhixiao/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-03-12 02:31:53 [ERROR] : [2017-03-12 02:31:53]msg:mysqli connect error;file:/home/qixinliang/git/bhd-zhixiao/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-03-12 02:32:38 [ERROR] : [2017-03-12 02:32:38]msg:mysqli connect error;file:/home/qixinliang/git/bhd-zhixiao/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-03-12 02:49:48 [ERROR] : [2017-03-12 02:49:48]msg:You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1;file:/home/qixinliang/git/bhd-zhixiao/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
2017-03-12 02:49:52 [ERROR] : [2017-03-12 02:49:52]msg:You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1;file:/home/qixinliang/git/bhd-zhixiao/sales/initphp/initphp.php;line:604;code:throw new exceptionInit($msg, $code);
